fixed.acidity,density,sulphates,alcohol
7.1,0.99682,0.53,10.3
7.1,0.99624,0.49,10.7
7.5,0.9951,0.64,11
7.1,0.99624,0.49,10.7
7.8,0.99417,0.74,12.7
5.9,0.99376,0.77,11.1
7.5,0.99632,0.55,10.9
5.9,0.99376,0.77,11.1
10.4,0.99832,0.86,9.9
11.6,0.99836,0.86,9.9
8.8,0.99694,0.47,9.4
7.6,0.99655,0.51,9.3
6.7,0.99064,0.39,11.7
6.7,0.99064,0.39,11.7
10.1,0.99672,0.83,11.2
6,0.99647,0.47,10
11.1,0.99736,0.77,12.1
6.6,0.99629,0.63,10.3
10.6,0.99708,0.72,10.9
7.1,0.9963,0.62,9.4
9.9,0.9959,0.83,10.6
6.4,0.99689,0.66,9.8
6.4,0.99689,0.66,9.8
7.4,0.9977,0.7,9.9
6.4,0.99689,0.66,9.8
6.4,0.99689,0.66,9.8
9.3,0.99708,0.55,9.5
9.3,0.99708,0.55,9.5
8,0.99801,1.07,9.7
9.3,0.99652,0.73,10.9
9.3,0.99652,0.73,10.9
7.6,0.99538,0.71,11.7
9.3,0.99652,0.73,10.9
8.2,0.99594,0.78,11.3
11.7,0.99686,0.67,10.6
6.8,0.99438,0.82,11.2
7.2,0.99746,0.54,9.5
5.8,0.99357,0.6,11.5
7.5,0.99628,0.44,10.4
7.2,0.99746,0.53,9.7
7.2,0.99746,0.54,9.5
7.2,0.99748,0.54,9.7
6.8,0.99438,0.83,11.3
6.9,0.99438,0.84,11.2
6.8,0.99438,0.82,11.2
7.6,0.99578,0.64,10.9
7.7,0.99371,0.57,11.8
6.9,0.99522,0.57,10.6
7.3,0.99576,0.54,10
9.1,0.99552,0.58,11.1
10.4,0.99664,0.65,11.8
8.8,0.99614,0.79,11.8
7.1,0.99517,0.58,10.9
7.7,0.99371,0.57,11.8
8.8,0.99787,0.5,10
7.2,0.99745,0.55,9.5
9.2,0.99576,0.49,9.9
7.6,0.99533,0.65,11.4
8.4,0.99536,0.78,12
7.2,0.99745,0.55,9.5
8.8,0.99787,0.5,10
8.9,0.99824,0.64,10.5
9,0.99836,0.65,10.4
10.7,0.99577,0.79,12.1
6.8,0.99491,0.56,11.2
10.7,1.00289,0.68,9.3
7.2,0.99576,0.58,10.1
7.2,0.99743,0.57,9.7
10.1,0.99774,0.65,9.3
7.2,0.99743,0.57,9.7
7.2,0.99745,0.58,9.8
7.1,0.9955,0.58,10.7
8.3,0.99444,0.77,12.5
7.1,0.9955,0.58,10.7
8.3,0.99444,0.77,12.5
8.3,0.99892,0.49,11
8.9,0.99562,0.69,11.8
7.4,0.99736,0.69,10.8
7.4,0.99736,0.69,10.8
6.8,0.9962,0.59,10.8
6.8,0.9962,0.59,10.8
9.2,0.998,0.59,9.5
7.2,0.9964,0.71,11
6.1,0.9948,0.54,11.5
7.4,0.99528,0.59,10.8
7.3,0.99331,0.52,11.5
9.3,0.99577,0.57,13.2
9.1,0.99901,0.6,10.9
10,0.99674,0.62,12.2
9.4,0.99639,0.64,12.2
7.3,0.99331,0.52,11.5
8.6,0.99512,0.67,11.9
5.3,0.99395,0.61,11
6.8,0.99824,0.64,10.1
8.4,0.9964,0.72,11
8.4,0.99504,0.89,11.8
9.6,0.99786,0.56,10.5
8.4,0.9964,0.72,11
8.4,0.99504,0.89,11.8
6.8,0.99824,0.64,10.1
8.6,0.99516,0.8,11.2
8.6,0.99604,0.87,11
9.4,0.99786,0.9,10.2
8.4,0.99736,0.59,9.2
8.6,0.99516,0.8,11.2
8.7,0.99468,0.73,12
6.6,0.99746,0.73,10.5
7.4,0.99748,0.65,9.8
7.6,0.9971,0.59,9.5
7.4,0.99748,0.65,9.8
6.6,0.99746,0.73,10.5
8.8,0.99543,0.72,11.8
8.8,0.99543,0.72,11.8
12,0.99791,0.6,10.4
7.2,0.99356,0.72,12.9
6.2,0.99425,0.54,11.4
9.6,0.99509,0.76,12.4
9.9,0.99484,0.52,12.5
10.1,0.99834,0.64,10
9.8,0.99864,0.6,9.7
8.3,0.99498,0.64,12.1
10.2,0.99566,0.79,11.1
10.2,0.99745,0.99,12
8.3,0.99408,0.62,12.4
8.9,0.99552,0.76,11.9
8.9,0.99552,0.76,11.9
8.9,0.99552,0.76,11.9
8.3,0.99408,0.62,12.4
8.2,0.99536,0.68,11.2
10.2,0.99458,0.69,12.1
7.6,0.99538,0.54,12.2
8.5,0.99648,0.67,10.4
9,0.99568,0.62,11.3
9.5,0.99613,0.58,11.1
6.4,0.99519,0.71,11.3
8,0.99735,0.61,10
8.5,0.99518,0.85,11.1
7.1,0.99592,0.62,9.3
6.6,0.99654,0.69,9.5
8.8,0.99546,0.69,11.2
8.5,0.99518,0.85,11.1
8.3,0.99554,0.86,11
9,0.99604,0.58,11.9
8.5,0.99733,0.48,9.2
9,0.9943,0.6,12.2
6.7,0.99669,0.61,10.2
10.4,0.99724,0.87,10.9
10.4,0.99724,0.87,10.9
10.1,0.99643,0.65,11.6
8.5,0.99605,0.63,10.7
8.8,0.99658,0.62,12.1
7.2,0.997,0.52,9.4
7.2,0.997,0.52,9.4
8.4,0.99801,0.5,9.1
7,0.99416,0.49,11.3
12.2,0.9969,0.63,10.4
9.1,0.99774,0.71,10.5
9.5,0.99712,0.62,10
7.3,0.99418,0.82,12.9
9.1,0.99774,0.71,10.5
12.2,0.9969,0.63,10.4
7.4,0.99562,0.58,11.3
9.8,0.9947,0.55,11.4
7.1,0.99693,0.5,9.4
7.7,0.99596,0.49,9.4
9.7,0.99556,0.51,10.9
7.7,0.99596,0.49,9.4
7.1,0.99694,0.48,9.4
6.5,0.99554,0.48,9.4
7.1,0.99694,0.48,9.4
10,0.99918,0.43,9.4
7.7,0.99697,0.62,10.1
5.6,0.99378,0.63,12.8
5.6,0.99378,0.63,12.8
8.9,0.99554,0.48,9.1
6.4,0.99162,0.53,12.9
7.5,0.99495,0.72,11.5
9.9,0.99676,0.82,10.6
9.1,0.99516,0.84,11.7
6.8,0.9928,0.55,12.8
8.2,0.99603,0.54,10.3
6.8,0.9928,0.55,12.8
9.1,0.99516,0.84,11.7
9.1,0.99516,0.84,11.7
8.9,0.99549,0.7,12
9.6,0.99722,0.68,10.9
8.9,0.99354,0.55,12.3
8.9,0.9957,0.55,10.4
7.7,0.99604,0.48,10
7.5,0.99635,0.58,10
8,0.99454,0.58,11.2
10.5,0.99598,0.84,11.4
8.9,0.99486,0.75,12.6
8,0.99007,0.44,12.7
8,0.99007,0.44,12.7
7,0.99636,0.61,10.4
11.3,0.99642,0.53,11.9
11.3,0.99642,0.53,11.9
7,0.99584,0.54,10.5
8.2,0.99506,0.55,12.3
7.7,0.99568,0.56,10.5
8.6,0.99822,0.6,10.4
7.9,0.99364,0.56,12.6
6.4,0.99378,0.52,11.6
7.2,0.99586,0.54,10.1
7.7,0.99568,0.56,10.5
7.1,0.99488,0.55,11.5
7.3,0.99514,0.58,11
8.1,0.99854,0.53,9.6
7.5,0.99592,0.59,10.4
8.9,0.99739,0.47,9.7
10.1,0.99683,0.65,10.6
7.6,0.99356,0.59,12.5
7.3,0.99672,0.56,9.2
8.7,0.9953,0.77,12.6
8.9,0.99692,0.83,11.1
7.4,0.99756,0.67,10.2
6.9,0.99547,0.64,9.8
8.9,0.99692,0.83,11.1
9.5,0.99859,0.81,10.9
6.4,0.99294,0.62,12.2
6.9,0.99438,0.58,11.4
7.6,0.99612,0.62,10.7
7.1,0.99634,0.64,10.4
9.3,0.99702,0.78,10.9
9.3,0.99704,0.77,10.8
7.1,0.99634,0.64,10.4
5.6,0.99258,0.55,12.9
8.3,0.99426,0.77,12.7
8.2,0.99747,0.62,9.1
8.2,0.99747,0.62,9.1
8.9,0.99586,0.59,12.1
7.6,0.99784,0.57,9.1
9.9,0.9971,0.76,11.6
8.9,0.99586,0.59,12.1
11.6,0.9981,0.7,9.9
9.1,0.99462,0.69,12.5
8,0.9956,0.64,11.4
10.2,0.99565,0.63,11.8
8.2,0.99418,0.57,11.8
7.7,0.9963,0.6,10.2
6.6,0.99358,0.72,12.5
11.1,0.99572,0.83,10.9
11.1,0.99572,0.83,10.9
8,0.997,0.62,10.8
9.3,0.99498,0.89,11.1
7.5,0.99892,0.58,9.2
7.2,0.9968,0.58,9.5
8,0.9972,0.58,10.7
7.5,0.99892,0.58,9.2
9.1,0.99769,0.86,10.2
9.9,0.99534,0.73,11.4
8.6,0.99817,0.58,11
8.6,0.99817,0.58,11
7.9,0.99316,0.51,12.3
10.3,0.99471,0.51,11.8
7.9,0.99316,0.51,12.3
7.2,0.99685,0.59,9.5
8.7,0.99617,0.77,12
7.2,0.99685,0.59,9.5
6.8,0.99529,0.49,9.6
8.5,0.99738,0.66,11.6
7.9,0.994,0.69,11.2
11.6,0.99735,0.76,9.9
11.6,0.99735,0.76,9.9
10,0.99451,0.63,11.8
7.9,0.99546,0.6,11.4
7,0.99479,0.59,11.5
9.2,0.99615,0.86,12
6.6,0.99655,0.49,10.8
9.4,0.99772,0.5,10.5
6.6,0.99655,0.49,10.8
8.6,0.99666,0.52,9.4
8,0.99358,0.81,12.5
8.6,0.99666,0.52,9.4
8.4,0.99392,0.78,12.4
7.4,0.99388,0.63,12
6.1,0.99402,0.54,11.2
7.4,0.99388,0.63,12
8,0.9936,0.66,12.4
6.3,0.99374,0.6,12.8
8.2,0.99376,0.54,12.3
9.1,0.99523,0.85,11.7
8.1,0.99855,0.49,9.5
10.8,0.9982,0.76,10.8
8.3,0.99593,0.64,10
5.4,0.99471,0.64,12.3
7.9,0.99396,0.71,11
8.9,0.99698,0.59,9.5
5,0.9902,0.66,13.6
7,0.99572,0.6,11.3
7,0.99572,0.6,11.3
7,0.99572,0.6,11.3
7.1,0.99252,0.53,13.3
5.6,0.99256,0.58,12.9
7.9,0.99235,0.72,13.1
6.6,0.99352,0.55,12.3
6.3,0.9922,0.48,12.3
10.7,0.99674,0.65,11.2
6.5,0.99557,0.62,11.5
8.8,0.99394,0.59,11.3
5.8,0.9915,0.54,13.5
6.3,0.99379,0.6,11.5
10,0.9984,0.68,10
10.5,0.99798,0.69,10.5
9.1,0.9977,0.63,10.4
5.9,0.99341,0.44,9.5
7.4,0.9933,0.88,13.6
7.2,0.99684,0.68,11.2
8.5,0.99524,0.74,11.8
8,0.9946,0.6,11.9
10.4,0.99774,0.76,11.4
10.4,0.99774,0.76,11.4
7.5,0.99786,0.58,9.1
8.2,0.99764,0.64,9.5
7.3,0.9969,0.65,9.5
8.2,0.99624,0.85,11
6.9,0.99354,0.65,11.4
7,0.99672,0.82,10
7.3,0.99588,0.62,10.1
8.2,0.99672,0.81,10.4
7.8,0.996,0.87,9.8
10,0.99702,0.49,11.8
7.8,0.99526,0.66,11.6
10,0.99585,0.52,12
8.2,0.99473,0.76,12.8
6.1,0.99352,0.65,12.5
8.3,0.99616,0.53,9.8
9.6,0.99622,0.66,11.1
6.6,0.99544,0.68,11.4
8.3,0.99616,0.53,9.8
8.5,0.99524,0.76,11.8
5.1,0.9924,0.87,12.9
6.7,0.99572,1.16,10.6
10.2,0.99728,0.67,10.8
10.6,0.99676,0.72,11.1
8.8,0.99551,0.75,10.2
8.5,0.99434,0.71,11.8
9,0.99692,0.67,10
9,0.99692,0.67,10
8.5,0.99634,1.1,9.4
9.9,0.99709,0.98,10.2
8.2,0.99528,0.88,12.4
6.5,0.99384,0.56,12
7.6,0.99502,0.62,11.5
9.2,0.99667,0.67,10.5
7.1,0.99522,0.68,10.8
9.7,0.99649,0.74,12.3
7.6,0.99716,0.62,9.5
7.6,0.99716,0.62,9.5
6.5,0.99541,0.7,11.5
6.5,0.99572,0.5,11.2
7.1,0.99318,0.66,12.7
5.6,0.99346,0.73,11.4
8.2,0.99599,0.81,11
8.2,0.99599,0.81,11
9.8,0.99478,0.46,11.4
10.2,0.99754,0.86,10.5
6.8,0.99572,0.6,9.3
6.7,0.99538,0.7,10.9
7,0.99346,0.46,11.9
6.6,0.9963,0.5,12.2
7,0.99346,0.46,11.9
6.7,0.99538,0.7,10.9
8.8,0.99616,0.44,9.6
9.1,0.99652,0.57,12.5
6.5,0.99551,0.51,10.8
7.2,0.99439,0.8,12.4
6.4,0.99551,0.51,10.8
7,0.99588,0.59,9.5
6.2,0.99633,0.6,9.5
7.9,0.99686,0.58,9.5
7.7,0.99458,0.54,9.8
7.7,0.9951,0.79,10.9
7.9,0.99686,0.58,9.5
7.7,0.99458,0.54,9.8
7.9,0.99419,0.54,11.2
8.6,0.99516,0.69,11.7
9.9,0.99878,0.55,9.4
7.2,0.99534,0.85,11
7.2,0.99534,0.85,11
7.2,0.99534,0.85,11
9.9,0.99752,0.94,10
7.2,0.99534,0.85,11
6.2,0.99428,0.87,11.2
6.8,0.99498,0.62,10.4
6.6,0.9957,0.62,9.3
6.8,0.99498,0.62,10.4
9.6,0.99659,0.75,10.5
10.2,0.99628,0.48,10.4
8.8,0.99488,0.56,11.3
7.9,0.99677,0.69,9.5
8.2,0.99408,0.81,12
8.2,0.996,0.69,10.6
9,0.99478,0.83,10.9
10.9,0.99734,0.77,11.5
10.9,0.99734,0.77,11.5
8.1,0.99678,0.46,9.6
10.5,0.99638,0.76,12
12.6,0.9992,0.82,10.3
9.2,0.99922,0.51,9.4
7.5,0.99592,0.47,9.2
9,0.99769,0.72,9.6
5.1,0.99157,0.73,13.6
7.6,0.99718,0.64,9.5
7.7,0.9947,0.78,11.8
7.8,0.99621,0.62,10.8
7.6,0.99718,0.64,9.5
10.2,0.99614,0.49,9.3
7.1,0.99242,0.4,12.8
6,0.99572,0.56,11.5
7.8,0.99659,0.64,9.4
7.1,0.99242,0.4,12.8
8.1,0.99798,0.46,9.6
6.5,0.99488,0.56,11.8
7.5,0.99494,0.4,9.3
9.8,0.99729,0.59,9.8
9,0.99414,0.6,12.2
8.3,0.9983,0.62,9.5
5.9,0.99721,0.54,10.3
7.4,0.99655,0.68,10.5
7.4,0.99502,0.48,10
7.4,0.99655,0.68,10.5
6.9,0.9949,0.75,11.1
7.1,0.99514,0.61,10.9
7.1,0.99514,0.61,10.9
7.5,0.9963,0.59,9.8
7.1,0.99627,0.58,9.8
7.9,0.99569,0.58,9.5
7.8,0.99628,0.69,10.9
6.1,0.99358,0.45,11
7.5,0.99499,0.42,9.2
7,0.99633,0.7,11
6.8,0.99538,0.63,11.3
6.8,0.99538,0.63,11.3
8.6,0.99632,1.15,9.3
6.3,0.99437,0.55,11.2
9.8,0.99726,0.58,9.8
8.2,0.9978,0.46,9.6
8.5,0.99456,0.72,11.8
7.2,0.99564,0.6,10.3
7.2,0.99564,0.6,10.3
10.4,0.996,0.87,11.4
6.9,0.99668,0.55,9.5
5.5,0.9908,0.82,14
5,0.99084,0.75,14
7.3,0.9935,0.57,11.7
5.9,0.99385,0.53,11.2
7.5,0.99494,0.43,9.3
7.8,0.9944,0.53,11.2
8,0.99688,0.54,9.5
8.5,0.99566,0.56,12
7,0.99636,0.6,9.7
8,0.99688,0.54,9.5
9.8,0.9948,0.57,11.5
7.1,0.9956,0.64,10.4
7.1,0.9956,0.64,10.4
7.9,0.99619,0.68,10.9
8.7,0.99734,0.63,10.2
7,0.99476,0.56,10.9
11.3,0.99734,0.57,10.5
7.1,0.99328,0.54,12.4
8,0.99286,0.37,13
7,0.99914,1.17,10.2
7,0.99914,1.17,10.2
7.6,0.99521,0.59,11
8.2,0.99638,0.75,10.9
5.9,0.99362,0.67,12.4
7.5,0.99672,0.49,9.7
8.2,0.99638,0.75,10.9
6.6,0.99558,0.45,9.5
6.6,0.99558,0.45,9.5
7.2,0.99323,0.61,12.1
5.7,0.99191,0.56,12.2
7.6,0.99476,0.4,10.9
5.2,0.99444,0.61,12.5
6.7,0.99598,0.74,11.7
9.1,0.99576,0.8,11.2
8,0.99501,0.66,11.2
7.6,0.9955,0.44,9.2
7.5,0.99612,0.53,9.8
9.7,0.9979,0.62,10.1
6.8,0.99524,0.52,11.1
9.7,0.9979,0.62,10.1
7,0.996,0.61,9.2
7.5,0.99612,0.53,9.8
6.5,0.9929,0.59,12.8
8,0.99532,0.47,10.5
7,0.99558,0.54,10.1
7,0.99556,0.53,10.1
7.5,0.99616,0.58,9.8
5.4,0.99258,0.59,12.5
9.9,0.99638,0.69,11.9
7.5,0.99616,0.58,9.8
9.7,0.99796,0.66,10.1
5,0.99258,0.59,12.5
9.1,0.99392,0.55,11.4
9.1,0.99495,0.82,11
6.7,0.9948,0.6,10.6
6.7,0.9948,0.6,10.6
6.7,0.9948,0.6,10.6
6.7,0.9948,0.6,10.6
6.5,0.9955,0.52,9.3
7.4,0.99616,0.56,9.8
7.4,0.99616,0.56,9.8
7.8,0.99668,0.46,9.2
8.4,0.99581,0.43,9.7
9.1,0.9976,0.51,9.6
7.2,0.99608,0.52,10
6.6,0.99387,0.66,12.6
6,0.99448,0.45,9.5
6,0.99448,0.45,9.5
6,0.99448,0.45,9.5
7.5,0.99538,0.54,10.5
7.5,0.99538,0.54,10.5
7.5,0.99538,0.54,10.5
7.6,0.99589,0.51,10.4
7.5,0.99538,0.54,10.5
11.5,0.99852,0.53,11
8.2,0.99613,0.53,10.2
6.1,0.99472,0.56,11.4
7.2,0.99587,0.39,9.5
7.2,0.99587,0.39,9.5
6.9,0.99518,0.52,10.8
9,0.99654,0.57,10
7.2,0.99332,0.51,11.8
7.6,0.9969,0.46,10.3
7.6,0.9969,0.46,10.3
7.2,0.99568,0.52,10
6.1,0.99464,0.44,10.1
6.1,0.99464,0.44,10.1
7.3,0.99648,0.59,11.1
7.4,0.99736,0.5,9.5
11.6,0.99704,0.65,10.03333333
9.2,0.99699,0.56,10.9
8.3,0.99724,0.54,10.1
11.6,0.99704,0.65,10.03333333
8,0.99652,0.48,9.8
7.2,0.995,0.53,11.8
7.8,0.9971,0.62,9.5
7.3,0.99576,0.5,9.8
6.9,0.99725,1.18,10.5
8,0.99656,0.5,9.8
6.6,0.99396,0.37,10.4
8.7,0.99623,1.17,9.2
7.5,0.99476,1.03,11.6
8.7,0.99623,1.17,9.2
7.7,0.99664,0.45,9.3
6.8,0.99471,0.51,9.8
7.2,0.99586,0.52,9.9
8.2,0.9946,0.46,10
5.2,0.9953,0.62,12.2
7.2,0.99609,0.51,9.9
7.5,0.99557,0.62,10.8
7.5,0.99557,0.62,10.8
6.8,0.99534,0.45,9.6
8,0.99613,0.49,9.9
8,0.99613,0.49,9.9
7.1,0.99593,0.5,9.5
8,0.99668,0.42,9.2
7.4,0.9961,0.58,9.6
7.4,0.9961,0.58,9.6
6.6,0.99718,0.68,10.3
6.7,0.99524,0.53,9.7
6,0.99292,0.59,12.5
8,0.99612,0.58,11
7.1,0.9942,0.48,9.8
8,0.99612,0.48,10.2
6.4,0.99669,0.48,9.2
8.6,0.99745,0.65,9.55
8.7,0.99745,0.65,9.55
7.3,0.99584,0.52,9.9
7,0.9966,0.62,10.2
7.2,0.9956,0.72,11.1
7.9,0.9962,0.51,9.9
7.9,0.9962,0.51,9.9
7.6,0.9963,0.82,11.9
7.2,0.996,1.1,10
8,0.9985,0.62,10.7
7.7,0.9952,0.9,11.3
8.2,0.9974,0.94,10.9
6,0.995,0.93,10.7
8.1,0.995,1.01,12.4
6,0.995,0.93,10.7
6.6,0.9936,0.44,11.9
6.4,0.9963,0.73,10.6
8.2,0.9974,0.94,10.9
9.9,0.9963,0.9,10.1
10,0.9994,0.78,9.6
6.2,0.9966,0.84,9.4
10,0.9994,0.78,9.6
7.3,0.9952,0.77,12.1
7.8,0.995,0.46,9.8
7.7,0.9956,0.45,9.9
7.8,0.995,0.46,9.8
7.5,0.9965,0.58,9.4
7,0.9956,0.84,11.4
6.4,0.9968,0.67,11
8.3,0.9974,0.7,9.6
8.3,0.9974,0.7,9.6
7.7,0.9971,0.71,12.1
7.6,0.9957,0.58,11.2
7.8,0.9962,0.63,11
7.9,0.996,0.93,11.3
7.4,0.9956,0.62,10.4
7.6,0.9958,0.54,9.9
5.9,0.9944,0.85,11.7
6.1,0.9955,0.74,10.1
10.2,1.00369,0.77,9
10.2,1.00369,0.77,9
10,0.99914,0.65,8.5
6.8,0.99577,0.54,11.1
7,0.996,0.47,10.3
7.3,0.99566,0.68,11.06666667
7.2,0.9947,0.73,11.3
7.4,0.99713,0.52,9.566666667
6.9,0.99712,0.75,9.8
6.9,0.99322,0.49,11.7
7.3,0.99566,0.68,11.1
7.4,0.99713,0.52,9.6
6.9,0.99712,0.75,9.8
6.8,0.99701,0.74,9.7
6.9,0.99683,0.73,9.7
7.2,0.99472,0.76,11.3
7.2,0.9947,0.73,11.3
7.8,0.99732,0.78,11
6.6,0.99374,0.76,11.6
7.6,0.99706,0.58,9
11.7,0.99974,0.69,10.9
6.5,0.99467,0.63,10.9
6,0.99236,0.5,10.55
7.6,0.99706,0.58,9
8.4,0.99603,0.6,10.5
7.9,0.99458,0.8,11.9
6.4,0.99724,0.68,10.4
6.2,0.99664,0.61,10
6.8,0.99545,0.58,10.4
6.9,0.99522,0.53,10.8
6.8,0.9958,0.67,9.7
6.8,0.9958,0.67,9.7
7.3,0.99728,0.65,10
6.7,0.99648,0.57,11
7.3,0.99728,0.65,10
7.3,0.99705,0.55,9.7
10,0.99578,0.47,9.7
6.7,0.99334,0.52,12.6
7.6,0.99656,0.79,11.1
6.1,0.99336,0.54,11
9.9,1.00242,0.75,8.8
5.3,0.99182,0.88,13.56666667
9.9,1.00242,0.75,8.8
5.3,0.99182,0.88,13.6
7.1,0.99808,0.52,10.2
8.2,0.99828,0.68,10.6
5.6,0.99498,0.62,10.1
8.2,0.99828,0.68,10.6
7.2,0.99719,0.57,10.3
8.1,0.99542,0.61,10.7
6.8,0.99592,0.64,10.9
7,0.99606,0.55,9.7
6.8,0.99546,0.6,10.3
6,0.99496,0.78,10.6
5.6,0.9942,0.58,11.4
6.2,0.99448,0.76,10.8
7.1,0.99344,0.56,12.4
5.6,0.9942,0.58,11.4
6.2,0.99348,0.54,11.95
7.7,0.99636,0.59,9.7
6.4,0.99459,0.7,10
7,0.99492,0.81,10.6
7.7,0.99636,0.59,9.7
6.9,0.99508,0.63,11.5
6.6,0.99582,0.58,10.8
6.9,0.99508,0.63,11.5
7.5,0.99508,0.53,9.6
7.8,0.99642,0.53,9.4
7.3,0.99638,0.54,9.8
6.2,0.99555,0.69,11
7.5,0.99605,0.55,11.4
6.7,0.996,0.63,9.95
6.8,0.99562,0.66,10.8
7.5,0.99605,0.55,11.4
7.1,0.99814,0.72,10.6
7.9,0.9941,0.7,11.1
6.4,0.99661,0.77,9.7
7.1,0.99712,0.67,9.8
6.4,0.99588,0.65,10.4
6.4,0.99294,0.6,10.5
6.9,0.99842,0.72,9.233333333
6.9,0.99842,0.72,9.25
6.1,0.99633,0.97,10.6
6.5,0.99489,0.83,10.3
7.4,0.99647,0.63,10.5
6.6,0.99665,0.58,10.2
6.5,0.99489,0.83,10.3
6.9,0.99585,0.43,9.05
6.1,0.99633,0.97,10.6
6.8,0.9953,0.6,10.4
6,0.99522,0.78,10
6.7,0.99552,0.64,9.7
6.8,0.99553,0.65,9.6
7.1,0.9951,0.66,10.8
7.9,0.99714,0.67,10.1
7.1,0.99608,0.6,10.2
6.6,0.99444,0.69,11.3
6.1,0.99631,0.66,10.2
7.2,0.99573,0.68,9.9
8,0.99717,0.61,9
6.6,0.99397,0.62,11.7
7,0.9959,0.59,9.7
6.1,0.99528,0.68,10.3
5.4,0.99484,0.64,10.2
6.2,0.99538,0.63,12
7.2,0.99714,0.78,9.9
6.2,0.99646,0.63,11.6
7.4,0.99666,0.76,10.9
6.7,0.99472,0.56,10.75
11.1,0.99758,0.57,10.4
8.4,0.9955,0.81,11.2
6.5,0.99531,0.64,10.1
7,0.99575,0.61,10.2
6.3,0.99306,0.51,12.1
11.2,0.99783,0.58,10.4
7.4,0.99419,0.7,11.4
7.1,0.99783,0.53,9.5
7.1,0.99768,0.54,9.4
6.3,0.99586,0.66,11.3
7.3,0.99765,0.6,9.4
6.6,0.99627,0.6,11
7,0.99514,0.68,10.55
6.6,0.99636,0.56,9.9
6.6,0.99627,0.6,11
6.9,0.99787,0.56,9.5
7.8,0.99622,0.52,9.9
7.8,0.99622,0.52,9.9
7.8,0.99622,0.52,9.9
7.2,0.99546,0.54,10.1
7.2,0.99546,0.54,10.1
7.2,0.99546,0.54,10.1
6.7,0.99489,0.82,10.9
6.7,0.99494,0.71,11.2
7.2,0.99546,0.54,10.1
7,0.99629,0.59,9.2
6.2,0.99396,0.57,11.5
6.4,0.9934,0.93,12.4
6.4,0.99514,0.65,11.1
7.3,0.99632,0.51,9.5
6,0.99467,0.67,12.5
5.6,0.99677,0.48,10.5
7.5,0.99474,0.64,11.8
8,0.99588,0.78,10.8
6.2,0.99622,0.6,11.9
6.8,0.9954,0.67,11.3
6.2,0.99402,0.6,11.3
7.4,0.9947,0.6,11.9
6.2,0.99402,0.6,11.3
6.1,0.99362,0.5,11.9
6.2,0.99578,0.62,9.8
6.7,0.99484,0.8,11.6
7.2,0.99494,0.84,11.5
7.5,0.99492,0.85,11.4
5.8,0.99483,0.66,10.9
7.2,0.99414,0.78,12.8
6.6,0.9977,0.54,9.2
6.3,0.99314,0.82,11.6
5.4,0.99402,0.56,11.6
6.3,0.99574,0.75,11
6.8,0.99651,0.82,9.5
6.2,0.9949,0.58,10.5
5.9,0.99512,0.76,11.2
6.3,0.99574,0.75,11
5.9,0.99547,0.71,10.2
6,0.99549,0.66,11
